# Last updated: 2026-05-07
name,연차,특화분야,지역,최대지원금액_만원,지원시기,상태,program_code,설명,has_form
소상공인 판로개척,제한없음(예비 제외),일반(공통),전국,2000,1월,종료,initial_package,소상공인 대상 온·오프라인 판로 개척 지원. 최대 2천만원.,false
강한소상공인,제한없음(예비 제외),일반(공통),전국,10000,1월,모집중,initial_package,,false
TIPS,성장(10년 미만),,전국,150000,3월|6월|9월,모집중,initial_package,,false
희망 리턴 패키지,제한없음,일반(공통),전국,0,연중(예산 소진시),모집중,initial_package,,false
중소환경기업 사업화,제한없음,그린/친환경,전국,30000,1월,모집중,initial_package,,false
녹색신산업 사업화,제한없음,그린/친환경,전국,30000,1월,모집중,initial_package,,false
"새활용 산업 육성(도전,성장,도약)",2년이상|예비(사업자등록X)|제한없음(예비 제외),그린/친환경,전국,20000,2월,모집중,jumping_package,,false
농식품 벤처육성 지원사업(창업기업),5년 미만,농업/식품,전국,3000,2월,모집중,initial_package,,false
농식품 벤처육성 지원사업(첨단기술),7년 미만,농업/식품,전국,21000,2월,모집중,initial_package,,false
에코스타트업,도약(3~7년 미만)|예비(사업자등록X)|초기(0~3년 미만),그린/친환경,전국,10000,1월,모집중,initial_package,,false
청년그린창업_스프링캠프,초기(0~3년 미만),그린/친환경,전국,8300,1월,모집중,youth_academy,,false
콘텐츠 엑셀러레이터 연계지원,도약(3~7년 미만)|초기(0~3년 미만),콘텐츠,전국,9000,3월,모집중,initial_package,,false
콘텐츠 창업도약 프로그램(4월),도약(3~7년 미만)|초기(0~3년 미만),콘텐츠,전국,18000,4월,모집중,jumping_package,,false
관광 벤처 예비,예비(사업자등록X),관광,전국,7000,2월,모집중,initial_package,,false
관광 벤처 초기,초기(0~3년 미만),관광,전국,8000,2월,모집중,initial_package,,false
관광 벤처 도약,도약(3~7년 미만),관광,전국,10000,2월,모집중,jumping_package,,false
관광글로벌챌린지프로그램,제한없음(예비 제외),관광,전국,20000,2월,모집중,initial_package,,false
스포츠 사회적기업,도약(3~7년 미만)|예비(사업자등록X)|초기(0~3년 미만),스포츠,전국,6500,3월,모집중,initial_package,,false
스포츠산업 예비 초기,예비(사업자등록X)|초기(0~3년 미만),스포츠,전국,5850,3월,모집중,initial_package,,false
스포츠산업 창업 도약,도약(3~7년 미만),스포츠,전국,6500,3월,모집중,jumping_package,,false
스포츠 엑셀러레이팅 프로그램,도약(3~7년 미만)|성장(10년 미만)|초기(0~3년 미만),스포츠,전국,8250,2월,모집중,initial_package,,false
스포츠산업 예비 선도기업 육성,도약(3~7년 미만)|성장(10년 미만),스포츠,전국,10000,1월,모집중,initial_package,,false
스포츠산업 선도기업 육성,도약(3~7년 미만)|성장(10년 미만),스포츠,전국,30000,1월,모집중,initial_package,,false
스포츠산업 창업 sport-up,예비(사업자등록X)|초기(0~3년 미만),스포츠,전국,600,5월,모집중,initial_package,,false
스포츠기업 해외진출 지원,제한없음(예비 제외),스포츠,전국,20000,1월,모집중,initial_package,,false
디자인-제조기업 시제품 제작 지원사업,제한없음(예비 제외),일반(공통),전국,2500,,모집중,initial_package,,false
예술경영지원센터,도약(3~7년 미만)|예비(사업자등록X)|초기(0~3년 미만),문화/예술,전국,10000,1월,모집중,initial_package,,false
성장기 기초예술,7년 이상,문화/예술,전국,5000,3월,모집중,initial_package,,false
특화창업패키지,도약(3~7년 미만)|성장(10년 미만)|예비(사업자등록X)|초기(0~3년 미만),신산업/초격차,전국,15000,2월,모집중,initial_package,,false
데이터 바우처,제한없음,일반(공통),전국,4500,2월,모집중,initial_package,,false
관광 바우처,도약(3~7년 미만)|성장(10년 미만)|초기(0~3년 미만),관광,전국,10000,2월,모집중,initial_package,,false
전통문화 바우처,제한없음(예비 제외),문화/예술,전국,2000,3월,모집중,initial_package,,false
클라우드 바우처,제한없음(예비 제외),일반(공통),전국,6910,4월,모집중,initial_package,,false
AI 바우처,제한없음(예비 제외),SW,전국,20000,3월,모집중,initial_package,,false
지식재산 바우처,제한없음(예비 제외),SW,전국,600,4월,종료,initial_package,,false
수출바우처,제한없음(예비 제외),일반(공통),전국,10000,1월|3월|5월|7월,모집중,initial_package,,false
중소기업 (제조)혁신바우처,제한없음(예비 제외),제조업,전국,5000,11월|1월|3월|5월,모집중,initial_package,,false
초격차1000+,성장(10년 미만),신산업/초격차,전국,60000,2월,모집중,initial_package,,false
SW (예비)고성장클럽,도약(3~7년 미만)|제한없음(예비 제외),SW,전국,30000,1월,모집중,initial_package,,false
해외지사화사업,제한없음(예비 제외),일반(공통),전국,0,10월|1월|2월|3월|4월|6월|8월,모집중,initial_package,,false
오션테크 스타트업 챌린지,도약(3~7년 미만)|초기(0~3년 미만),해양/수산,비수도권,5000,1월,모집중,initial_package,,false
전남형 청년창업사관학교,예비(사업자등록X)|초기(0~3년 미만),일반(공통),비수도권,2400,5월,모집중,youth_academy,,false
부산 특화 창업패키지,도약(3~7년 미만)|예비(사업자등록X)|초기(0~3년 미만),일반(공통),비수도권,5500,3월,모집중,initial_package,,false
글로벌 기업 협업 프로그램,도약(3~7년 미만)|성장(10년 미만)|초기(0~3년 미만),일반(공통),전국,20000,,모집중,initial_package,,false
예비유니콘 특별보증,,,전국,2000000,,모집중,initial_package,,false
아기유니콘 육성사업,,,전국,30000,,모집중,initial_package,,false
콘텐츠 스타트업 창업도약,도약(3~7년 미만),콘텐츠,전국,20000,,모집중,jumping_package,,false
지역특화 프로젝트 레전드 50+,,,비수도권,50000,,모집중,initial_package,,false
IP 디딤돌,,,전국,170,,모집중,initial_package,,false
생애최초(2025년 폐지),예비(사업자등록X),일반(공통),전국,7000,,종료,initial_package,,false
환경창업대전,도약(3~7년 미만)|예비(사업자등록X)|초기(0~3년 미만),그린/친환경,전국,2000,,모집중,initial_package,,false
스타트업 부스터 프로젝트(인천),예비(사업자등록X)|초기(0~3년 미만),콘텐츠,전국,1000,,모집중,initial_package,,false
콘텐츠 창의인재동반사업,,,전국,0,,모집중,initial_package,,false
콘텐츠 제작 지원,예비(사업자등록X)|초기(0~3년 미만),콘텐츠,전국,3000,,모집중,initial_package,,false
아이디어 사업화 지원사업,예비(사업자등록X),콘텐츠,전국,500,,모집중,initial_package,,false
오늘전통 청년 초기창업기업,초기(0~3년 미만),문화/예술,전국,3500,3월,모집중,youth_academy,,false
오늘전통 창업도약기업,도약(3~7년 미만),문화/예술,전국,5000,3월,모집중,jumping_package,,false
성장사다리 지원사업,제한없음(예비 제외),일반(공통),전국,0,4월,모집중,initial_package,,false
농식품 벤처육성 지원사업,,,전국,21000,,모집중,initial_package,,false
해양수산 투자 프로그램 패키지,,,전국,0,,모집중,initial_package,,false
해양수산 창업ㆍ투자지원사업,,해양/수산,전국,5000,,모집중,initial_package,,false
자활기업 창업자금 지원,,,전국,10000,,모집중,initial_package,,false
글로벌 IP 스타기업 육성,,,전국,3300,,모집중,initial_package,,false
오디오북 제작 지원,,문화/예술|콘텐츠,전국,500,,모집중,initial_package,,false
사전인큐베이팅,예비(사업자등록X),일반(공통),전국,0,7월|8월,모집중,initial_package,,false
