이름,연차,특화분야,지원시기(직전연도 공고 기준),최대 지원 금액,최신 업데이트 연도
글로벌 기업 협업 프로그램,"도약(3~7년 미만), 성장(10년 미만), 초기(0~3년 미만)",일반(공통),,2억,2025
예비유니콘 특별보증,,,,200억,2025
아기유니콘 육성사업,,,,3억,2025
콘텐츠 스타트업 창업도약,도약(3~7년 미만),콘텐츠,,2억,2025
지역특화 프로젝트 레전드 50+,,,,5억,2025
IP 디딤돌,,,,170만 원,2025
,,,,,
생애최초(2025년 폐지),예비(사업자등록X),일반(공통),,7천만 원,2024
환경창업대전,"도약(3~7년 미만), 예비(사업자등록X), 초기(0~3년 미만)",그린/친환경,,2천만 원,2025
스타트업 부스터 프로젝트(인천),"예비(사업자등록X), 초기(0~3년 미만)",콘텐츠,,1천만 원,2025
콘텐츠 창의인재동반사업,,,,,2025
콘텐츠 제작 지원,"예비(사업자등록X), 초기(0~3년 미만)",콘텐츠,,3천만 원,2025
아이디어 사업화 지원사업,예비(사업자등록X),콘텐츠,,5백만 원,2025
오늘전통 청년 초기창업기업,초기(0~3년 미만),문화/예술,3월,3500만 원,2025
오늘전통 창업도약기업,도약(3~7년 미만),문화/예술,3월,5천만 원,2025
성장사다리 지원사업,제한없음(예비 제외),일반(공통),4월,,2025
농식품 벤처육성 지원사업,,,,"1430만 원, 2.1억, 3천만 원",2025
해양수산 투자 프로그램 패키지,,,,,2025
해양수산 창업ㆍ투자지원사업 ,,해양/수산,,5천만 원,2025
자활기업 창업자금 지원,,,,1억,2025
글로벌 IP 스타기업 육성,,,,3300만 원,2025
오디오북 제작 지원,,"문화/예술, 콘텐츠",,5백만 원,2025
사전인큐베이팅,예비(사업자등록X),일반(공통),"7월, 8월",예창면제,2025
